name,TempK,Sigma,SMILES
diethyl succinate,293,31.89,CCOC(=O)CCC(=O)OCC
diisopentyl oxalate,333,24.86,CC(C)CCOC(=O)C(=O)OCCC(C)C
2(10)-pinene,303,26.37,CC1(C2CCC(=C)C1C2)C
methyl hexanoate,283,27.42,CCCCCC(=O)OC
veratrole,313,31.8,COC1=CC=CC=C1OC
butyl phenyl sulfide,288,34.99,CCCCSC1=CC=CC=C1
isopentyl butyrate,343,20.89,CCCC(=O)OCCC(C)C
isopentyl hydrocinnamate,313,30.01,CC(C)CCOC(=O)CCC1=CC=CC=C1
Propylbenzene,343,23.6,CCCC1=CC=CC=C1
diethyl chlorofumarate,333,28.77,CCOC(=O)C=C(C(=O)OCC)Cl
1-bromopropane,283,27.08,CCCBr
triisopropyl orthophosphate,363,22.47,CC(C)OP(=O)(OC(C)C)OC(C)C
"cis-1,3-dimethylcyclohexane",293,22.63,CC1CCCC(C1)C
hexanenitrile,303,26.92,CCCCCC#N
o-nitroanisole,393,34.4,COC1=CC=CC=C1[N+](=O)[O-]
2-iodothiophene,293,42.62,C1=CSC(=C1)I
3-ethyl-2methylhexane,313,20.94,CCCC(CC)C(C)C
1-chloro-2-methylpropane,333,17.81,CC(C)CCl
1-phenyl-1-penten-3-one,373,34.14,CCC(=O)C=CC1=CC=CC=C1
m-nitroaniline,433,39.42,C1=CC(=CC(=C1)[N+](=O)[O-])N
2-methyl-2-propanethiol,303,19.43,CC(C)(C)S
propyl cinnamate,353,30.77,CCCOC(=O)C=CC1=CC=CC=C1
"2,3-dimethylheptane",293,22.4,CCCCC(C)C(C)C
glycerol tridecanoate,383,23.81,CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC
2-butoxyethanol,373,20.02,CCCCOCCO
"1,2,3-tribromopropane",358,37.22,C(C(CBr)Br)Br
4-ethyl-4-heptanol,298,25.22,CCCC(CC)(CCC)O
"2,6-dimethylheptane",298,20.55,CC(C)CCCC(C)C
decane,393,14.63,CCCCCCCCCC
ethyl pentyl carbonate,293,27.03,CCCCCOC(=O)OCC
p-iodotoluene,383,28.61,CC1=CC=C(C=C1)I
fluoroacetic acid,353,33.31,C(C(=O)O)F
(2-iodoethyl)-benzene,323,37.5,C1=CC=C(C=C1)CCI
2-methyl-1-nitropropane,343,23.64,CC(C)C[N+](=O)[O-]
2-dodecanol,353,24.33,CCCCCCCCCCC(C)O
2-chloro-2-methylhexane,298,23.66,CCCCC(C)(C)Cl
"1,3-dibromopropane",333,35.13,C(CBr)CBr
isobutyl butyrate,293,22.78,CCCC(=O)OCC(C)C
5-methyl-5-undecanol,318,24.5,CCCCCCC(C)(CCCC)O
3-ethyl-3-methylhexane,333,19.47,CCCC(C)(CC)CC
1-butane sulfonyl chloride,293,35.4,CCCCS(=O)(=O)Cl
pentamethylene nitrate,288,43.7,C(CCO[N+](=O)[O-])CCO[N+](=O)[O-]
heptyl 1-naphthyl ketone,333,33.85,CCCCCCCC(=O)C1=CC=CC2=CC=CC=C21
tripropylamine,303,21.95,CCCN(CCC)CCC
